Chunk_Size,Threads,Time(s)
1,1,0.006000
1,2,0.010000
1,4,0.004000
1,8,0.007000
5,1,0.006000
5,2,0.004000
5,4,0.004000
5,8,0.005000
10,1,0.007000
10,2,0.004000
10,4,0.004000
10,8,0.007000
20,1,0.008000
20,2,0.006000
20,4,0.004000
20,8,0.005000
50,1,0.010000
50,2,0.006000
50,4,0.005000
50,8,0.007000
